,season,full_name,driving_distance,driving_accuracy,greens_in_regulation,proximity,scrambling_rough,scrambling_sand,putting_conversion,putting_rating,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total,str_diff_to_field,scoring_avg
97,2004,tim_petrovic,287.2,,,,,,,,,,,,,,,
98,2004,tom_lehman,287.2,,,,,,,,,,,,,,,
99,2004,steve_elkington,287.1,,,,,,,,,,,,,,,
100,2004,danny_ellis,286.7,,,,,,,,,,,,,,,
101,2004,john_rollins,286.7,,,,,,,,,,,,,,,
102,2004,kent_jones,286.4,,,,,,,,,,,,,,,
103,2004,john_huston,286.4,,,,,,,,,,,,,,,
104,2004,kevin_sutherland,286.3,,,,,,,,,,,,,,,
105,2004,tripp_isenhour,286.2,,,,,,,,,,,,,,,
106,2004,glen_day,286.1,,,,,,,,,,,,,,,
107,2004,lee_janzen,286.1,,,,,,,,,,,,,,,
108,2004,tom_pernice_jr.,286.0,,,,,,,,,,,,,,,
109,2004,alex_cejka,285.8,,,,,,,,,,,,,,,
110,2004,notah_begay_iii,285.8,,,,,,,,,,,,,,,
111,2004,david_branshaw,285.8,,,,,,,,,,,,,,,
112,2004,zach_johnson,285.6,,,,,,,,,,,,,,,
113,2004,matt_gogel,285.6,,,,,,,,,,,,,,,
114,2004,dudley_hart,285.6,,,,,,,,,,,,,,,
115,2004,duffy_waldorf,285.4,,,,,,,,,,,,,,,
116,2004,david_toms,285.3,,,,,,,,,,,,,,,
117,2004,billy_mayfair,285.2,,,,,,,,,,,,,,,
118,2004,paul_azinger,285.1,,,,,,,,,,,,,,,
119,2004,john_riegger,285.0,,,,,,,,,,,,,,,
120,2004,k.j._choi,285.0,,,,,,,,,,,,,,,
121,2004,mark_hensby,284.6,,,,,,,,,,,,,,,
122,2004,arron_oberholser,284.6,,,,,,,,,,,,,,,
123,2004,ken_duke,284.3,,,,,,,,,,,,,,,
124,2004,danny_briggs,283.8,,,,,,,,,,,,,,,
125,2004,ben_crane,283.8,,,,,,,,,,,,,,,
126,2004,david_gossett,283.8,,,,,,,,,,,,,,,
127,2004,billy_andrade,283.5,,,,,,,,,,,,,,,
128,2004,todd_hamilton,283.5,,,,,,,,,,,,,,,
129,2004,steve_pate,283.5,,,,,,,,,,,,,,,
130,2004,rocco_mediate,283.4,,,,,,,,,,,,,,,
131,2004,cliff_kresge,283.4,,,,,,,,,,,,,,,
132,2004,richard_johnson,283.4,,,,,,,,,,,,,,,
133,2004,justin_leonard,282.9,,,,,,,,,,,,,,,
134,2004,stephen_leaney,282.3,,,,,,,,,,,,,,,
135,2004,dean_wilson,282.2,,,,,,,,,,,,,,,
136,2004,bernhard_langer,282.2,,,,,,,,,,,,,,,
137,2004,bart_bryant,282.1,,,,,,,,,,,,,,,
138,2004,mike_weir,282.1,,,,,,,,,,,,,,,
139,2004,ben_curtis,282.1,,,,,,,,,,,,,,,
140,2004,mark_wilson,282.1,,,,,,,,,,,,,,,
141,2004,dan_forsman,281.9,,,,,,,,,,,,,,,
142,2004,olin_browne,281.9,,,,,,,,,,,,,,,
143,2004,steve_stricker,281.8,,,,,,,,,,,,,,,
