full_name,season,champion,top_10,made_cut,total_score,prior_score,prior_afs,sg_on_field,roll_5yr_majors,roll_3yr_majors,roll_1yr_majors,rolling_majors,driving_distance,driving_accuracy,greens_in_regulation,bob_distance,scrambling_rough,scrambling_sand,putting_rating,scoring_avg,sg_off_tee,sg_approach,sg_scrambling,sg_putting,sg_tee_to_green,sg_total
adam_scott,2019,0,0,0,315,282,295,13,0,0,0,0.0,299.3,0.5991,0.6894,20.63609760360605,0.6315999999999999,0.5167,1.6130000000000002,69.693,0.285,0.846,0.35100000000000003,0.348,1.483,1.831
alex_cejka,2010,0,0,1,288,291,300,9,0,0,0,0.0,277.4,0.7031000000000001,0.6659999999999999,17.087394659514366,0.526,0.4719,1.609,71.219,-0.146,0.46399999999999997,0.077,-0.46799999999999997,0.396,-0.073
alex_noren,2018,0,0,1,296,315,295,-20,0,0,0,0.0,299.2,0.6173,0.6491,21.97789806765475,0.6146,0.5185,1.609,69.973,0.20800000000000002,0.107,-0.028999999999999998,0.758,0.28600000000000003,1.044
anders_hansen,2007,0,0,0,315,315,305,-10,0,0,0,0.0,280.7,0.6695,0.6285000000000001,17.485326705555142,0.5106,0.5,1.534,70.85600000000002,-0.22399999999999998,0.335,-0.023,-0.17600000000000002,0.087,-0.08900000000000001
andres_romero,2007,0,1,1,287,315,305,-10,0,0,0,0.0,312.5,0.5625,0.5889,17.390464980046456,0.7646999999999999,0.6215999999999999,1.5719999999999998,68.653,1.988,-0.457,0.342,0.416,1.873,2.289
andres_romero,2008,0,0,1,298,287,302,15,0,0,0,0.0,299.1,0.5283,0.5879,19.325936516045534,0.5828,0.4865,1.5830000000000002,70.816,0.061,-0.5529999999999999,0.079,0.008,-0.414,-0.406
andrew_landry,2018,0,0,1,288,315,295,-20,0,0,0,0.0,291.1,0.6292,0.6563,18.020730250186862,0.5904,0.4706,1.609,71.059,0.20600000000000002,-0.083,-0.152,-0.01,-0.028999999999999998,-0.039
anthony_kim,2008,0,0,1,286,315,302,-13,0,0,0,0.0,300.9,0.5834,0.6578,19.51900713620786,0.5832999999999999,0.5467,1.6030000000000002,69.279,0.5489999999999999,0.474,0.09300000000000001,0.36200000000000004,1.117,1.479
anthony_kim,2009,0,1,1,276,286,299,13,0,0,0,0.0,299.0,0.5365,0.6269,21.929609612981658,0.5506,0.5632,1.5759999999999998,70.507,0.115,0.1,0.019,0.245,0.235,0.479
arron_oberholser,2005,0,0,1,288,315,303,-12,0,0,0,0.0,283.5,0.667,0.6684,18.095241777881828,0.5882000000000001,0.4928,1.6280000000000001,70.317,0.245,0.11199999999999999,-0.042,0.149,0.315,0.46399999999999997
arron_oberholser,2006,0,0,1,310,288,302,14,0,0,0,0.0,285.0,0.6253,0.6927,18.822896813308105,0.6154,0.5467,1.642,69.858,0.095,0.589,0.243,0.16699999999999998,0.927,1.095
arron_oberholser,2007,0,0,1,292,315,305,-10,0,0,0,0.0,285.5,0.617,0.6225,18.210305385199398,0.6,0.5872999999999999,1.6,69.807,0.125,0.3,0.396,0.36200000000000004,0.821,1.183
bart_bryant,2005,0,0,0,315,315,303,-12,0,0,0,0.0,283.2,0.73,0.6893,19.059913868290874,0.519,0.4842,1.64,70.187,0.44,0.452,-0.12,0.298,0.772,1.07
bart_bryant,2006,0,0,0,315,315,302,-13,0,0,0,0.0,282.2,0.7276,0.6867,16.733241616614517,0.5592,0.4211,1.67,70.745,0.299,0.379,-0.145,-0.138,0.5329999999999999,0.395
ben_crane,2005,0,0,0,315,315,303,-12,0,0,0,0.0,293.1,0.5663,0.6239,21.090249623147336,0.5545,0.5832999999999999,1.5530000000000002,69.7,0.09699999999999999,-0.215,0.11900000000000001,0.9390000000000001,0.0,0.9390000000000001
ben_crane,2006,0,0,0,315,315,302,-13,0,0,0,0.0,285.8,0.6351,0.6201,21.40050155175496,0.5179,0.4815,1.581,70.834,-0.233,-0.408,0.272,0.8490000000000001,-0.369,0.48
ben_crane,2009,0,0,1,288,315,299,-16,0,0,0,0.0,285.0,0.6775,0.6487,18.916647375173717,0.608,0.5401,1.5830000000000002,70.376,0.282,-0.038,0.1,0.431,0.344,0.775
ben_crane,2010,0,0,0,315,288,300,12,0,0,0,0.0,282.3,0.7112999999999999,0.6822,18.19355414700492,0.5324,0.5660000000000001,1.615,70.234,0.16899999999999998,0.379,0.046,0.268,0.594,0.862
ben_crane,2011,0,0,1,287,315,299,-16,0,0,0,0.0,284.9,0.6706,0.6636,18.82088452874743,0.6143,0.4225,1.6159999999999999,70.434,0.10099999999999999,0.162,0.09300000000000001,0.134,0.35600000000000004,0.49
ben_crane,2014,0,0,0,315,315,304,-11,0,0,0,0.0,279.0,0.664,0.6344,18.71055792267504,0.5602,0.5431,1.599,70.954,-0.297,-0.009000000000000001,0.017,0.138,-0.29,-0.152
ben_curtis,2004,0,0,0,315,315,303,-12,1,1,0,6.0,282.1,0.6434000000000001,0.6335000000000001,18.71513707017813,0.5714,0.4583,1.62,71.578,0.171,0.27399999999999997,0.223,-0.174,0.669,0.494
