tournament_year,top_10_correct,accuracy_pct,accuracy,winner_correct,data_points
2011,2,20.00%,0.2000,0,361
2012,3,27.27%,0.2727,0,423
2013,3,30.00%,0.3000,1,482
2014,2,15.38%,0.1538,1,539
2015,3,27.27%,0.2727,1,605
2016,5,35.71%,0.3571,0,670
2017,4,40.00%,0.4000,1,727
2018,5,45.45%,0.4545,0,784
2019,5,45.45%,0.4545,1,836
