,season,full_name,drive_distance,gir,proximity,scrambling,putting_conversion
68,2003,chad_campbell,294.6,0.7179000000000001,31.41666666666667,0.5483,0.306
69,2003,charles_howell_iii,294.6,0.6787000000000001,35.75,0.597,0.2974
70,2003,chris_dimarco,281.0,0.6708,35.166666666666664,0.5808,0.3375
71,2003,chris_riley,279.3,0.6154,33.5,0.6565000000000001,0.3186
72,2003,craig_perks,290.7,0.6315,35.166666666666664,0.5687,0.298
73,2003,darren_clarke,304.9,0.6368,34.166666666666664,0.5439,0.329
74,2003,david_toms,288.8,0.6797,34.416666666666664,0.6039,0.3016
75,2003,davis_love_iii,299.2,0.6845,33.583333333333336,0.5959,0.3264
76,2003,ernie_els,303.3,0.6851999999999999,35.0,0.6029,0.3053
77,2003,fred_couples,293.4,0.6401,34.083333333333336,0.5645,0.3355
78,2003,fred_funk,274.1,0.6723,32.333333333333336,0.6065,0.2804
79,2003,j.l._lewis,289.7,0.6592,34.833333333333336,0.5478999999999999,0.2953
80,2003,jay_haas,279.2,0.6439,35.166666666666664,0.6184000000000001,0.3066
81,2003,jeff_maggert,278.2,0.6523,34.166666666666664,0.5720000000000001,0.3017
82,2003,jeff_sluman,280.6,0.6875,32.5,0.6325,0.28850000000000003
83,2003,jerry_kelly,283.5,0.6823,36.833333333333336,0.6146,0.3098
84,2003,john_daly,314.3,0.6384000000000001,37.5,0.4972,0.3111
85,2003,john_rollins,283.6,0.6184000000000001,34.916666666666664,0.5702,0.3319
86,2003,jonathan_byrd,295.3,0.6375,36.66666666666666,0.5811999999999999,0.3244
87,2003,jonathan_kaye,295.9,0.6748999999999999,33.75,0.5864,0.2959
88,2003,justin_leonard,279.1,0.6504000000000001,33.666666666666664,0.6081,0.33030000000000004
89,2003,k.j._choi,294.7,0.6667000000000001,35.166666666666664,0.5753,0.2933
90,2003,kenny_perry,295.1,0.6881,32.833333333333336,0.6178,0.2932
91,2003,kirk_triplett,281.8,0.6890999999999999,32.916666666666664,0.6245,0.3022
92,2003,len_mattiace,278.7,0.6147,36.66666666666666,0.5922,0.2749
93,2003,mark_o'meara,277.5,0.6069,33.75,0.5203,0.2802
94,2003,mike_weir,289.2,0.6585,34.916666666666664,0.6247,0.32659999999999995
95,2003,nick_price,280.1,0.6317,33.416666666666664,0.6204,0.2963
96,2003,peter_lonard,292.8,0.6426000000000001,34.5,0.5579,0.2923
97,2003,phil_mickelson,306.0,0.6484000000000001,36.91666666666666,0.5579999999999999,0.342
98,2003,retief_goosen,299.4,0.6979000000000001,33.416666666666664,0.5805,0.32880000000000004
99,2003,rich_beem,293.6,0.632,36.083333333333336,0.5235,0.297
100,2003,robert_allenby,294.8,0.6931,34.166666666666664,0.595,0.3223
101,2003,rocco_mediate,280.5,0.6731999999999999,34.166666666666664,0.5615,0.2891
102,2003,scott_verplank,275.5,0.6742,32.166666666666664,0.6057,0.3262
103,2003,sergio_garcia,300.9,0.6607999999999999,33.0,0.523,0.29460000000000003
104,2003,shaun_micheel,288.9,0.6879000000000001,34.583333333333336,0.5700999999999999,0.2868
105,2003,shigeki_maruyama,278.9,0.649,34.666666666666664,0.6015,0.2872
106,2003,steve_flesch,285.7,0.6635,34.333333333333336,0.6043999999999999,0.3204
107,2003,stewart_cink,288.0,0.6522,31.83333333333333,0.6325999999999999,0.3296
108,2003,stuart_appleby,294.4,0.6536,33.916666666666664,0.617,0.3243
109,2003,tiger_woods,299.5,0.6862999999999999,34.333333333333336,0.6015999999999999,0.3505
110,2003,tim_clark,273.3,0.6501,30.41666666666667,0.5772999999999999,0.2881
111,2003,tim_herron,290.9,0.6581999999999999,35.25,0.6158,0.3279
112,2003,tim_petrovic,284.2,0.6559,34.0,0.6097,0.3146
113,2003,vijay_singh,301.9,0.6947,33.0,0.6486,0.3521
114,2004,adam_scott,295.4,0.6559999999999999,35.333333333333336,0.5652,0.329
115,2004,ben_curtis,282.1,0.6335000000000001,37.333333333333336,0.5802,0.2513
116,2004,bernhard_langer,282.2,0.6525,34.416666666666664,0.6192,0.2768
117,2004,bo_van_pelt,294.4,0.6768000000000001,36.333333333333336,0.5835,0.3136
118,2004,carlos_franco,290.6,0.6846,36.083333333333336,0.6103000000000001,0.2838
119,2004,chad_campbell,288.0,0.6774,34.166666666666664,0.5889,0.2615
120,2004,charles_howell_iii,288.5,0.6606000000000001,37.41666666666666,0.5981000000000001,0.2671
