,season,full_name,drive_distance,gir,proximity,scrambling,putting_conversion,made_cut,top_10,on_the_green_area,par_or_better_dist
0,2002,bernhard_langer,271.3,0.64,34.916666666666664,0.6204,0.2743,0,0,3830.146860117205,18.287135410658983
1,2002,billy_mayfair,270.9,0.6648999999999999,35.833333333333336,0.6108,0.27,1,0,4033.892233671895,18.619546181365433
2,2002,bob_estes,279.8,0.7015,32.0,0.5964,0.2846,1,0,3216.990877275948,17.0713326954869
3,2002,brad_faxon,269.6,0.6372,34.083333333333336,0.6144,0.3077,1,0,3649.5052825357934,18.90626801192898
4,2002,chad_campbell,281.5,0.6916,31.5,0.5982999999999999,0.2937,0,0,3117.245310524472,17.07114012009743
5,2002,charles_howell_iii,293.7,0.6905,34.833333333333336,0.601,0.3141,1,0,3811.886352818216,19.52221106842153
6,2002,chris_dimarco,279.7,0.6808,34.083333333333336,0.6331,0.32530000000000003,0,0,3649.5052825357934,19.43945538574691
7,2002,chris_riley,272.7,0.6509999999999999,34.416666666666664,0.6617000000000001,0.3247,1,0,3721.2383147927594,19.611461058807194
8,2002,craig_parry,278.3,0.6766,35.333333333333336,0.5871999999999999,0.2883,1,0,3922.103895081658,18.971729845571105
9,2002,craig_perks,278.5,0.6185,36.833333333333336,0.6053000000000001,0.30510000000000004,0,0,4262.181299832753,20.34520766667178
10,2002,craig_stadler,280.4,0.6601,37.75,0.5817,0.3073,1,0,4476.965880906305,20.92657894281815
11,2002,david_duval,290.8,0.6565000000000001,33.25,0.5763,0.3477,0,0,3473.2270280843654,19.606225573781405
12,2002,david_toms,279.2,0.7018000000000001,30.41666666666667,0.6141,0.33659999999999995,1,1,2906.518619961808,17.646910140305017
13,2002,davis_love_iii,287.7,0.662,33.833333333333336,0.6257,0.31980000000000003,1,0,3596.1636572717166,19.133041664443567
14,2002,ernie_els,281.4,0.6437,37.66666666666666,0.6263000000000001,0.3019,1,1,4457.221843743117,20.69611101417633
15,2002,fred_couples,288.6,0.6463,34.75,0.6099,0.3376,1,0,3793.6694787505244,20.19091627440419
16,2002,fred_funk,273.0,0.7106999999999999,30.0,0.6322,0.3129,0,0,2827.4333882308138,16.781239525136396
17,2002,jay_haas,273.3,0.6364,36.41666666666666,0.6344,0.2952,0,0,4166.297274051311,19.78601652683025
18,2002,jeff_maggert,274.9,0.6428,32.416666666666664,0.6024,0.2708,1,1,3301.312096762924,16.869130007864133
19,2002,jeff_sluman,272.9,0.6914,34.833333333333336,0.6262,0.284,1,0,3811.886352818216,18.563258214967426
20,2002,jerry_kelly,274.0,0.6714,36.16666666666666,0.6511,0.2933,1,0,4109.290457358047,19.58684628066045
21,2002,jim_furyk,271.8,0.7169,30.66666666666667,0.6478,0.2703,1,1,2954.4933577760016,15.943717676041976
22,2002,john_cook,264.0,0.6792,35.5,0.5952000000000001,0.2982,0,0,3959.1921416865366,19.385730576895984
23,2002,john_huston,281.6,0.6892,29.58333333333333,0.6238,0.3106,0,0,2749.4389872823162,16.487235171826445
24,2002,john_rollins,279.3,0.6801,34.083333333333336,0.6179,0.3102,1,0,3649.5052825357934,18.982917430328424
25,2002,jonathan_byrd,290.5,0.6434000000000001,34.583333333333336,0.5977,0.342,1,1,3757.366630309043,20.2245982654786
26,2002,josé_maría_olazábal,270.6,0.6093,35.833333333333336,0.6307,0.3074,1,1,4033.892233671895,19.867313328401732
27,2002,justin_leonard,278.7,0.6759000000000001,34.166666666666664,0.6229,0.3214,0,0,3667.373090753084,19.3698183035131
28,2002,k.j._choi,283.1,0.6552,32.083333333333336,0.5981000000000001,0.3223,1,0,3233.767854710744,18.214180506621148
29,2002,kenny_perry,286.4,0.7076,35.666666666666664,0.596,0.322,1,0,3996.454921216615,20.239065634998514
30,2002,kevin_sutherland,275.0,0.6799,33.583333333333336,0.5917,0.2565,1,0,3543.2147310893383,17.00855758875514
31,2002,kirk_triplett,275.0,0.6609999999999999,31.83333333333333,0.6162,0.3195,0,0,3183.567822100256,17.993578715753014
32,2002,lee_janzen,283.7,0.6823999999999999,31.83333333333333,0.5550999999999999,0.3185,0,0,3183.567822100256,17.965397682458597
