season,full_name,drive_distance,gir,proximity,scrambling,putting_conversion
2002,j.p._hayes,277.1,64.04,30.666666666666668,60.77,32.15
2002,jason_hill,281.8,64.88,35.583333333333336,48.53,25.91
2002,jay_don_blake,271.2,64.29,35.416666666666664,60.15,29.37
2002,jay_haas,273.3,63.64,36.416666666666664,63.44,29.52
2002,jay_williamson,275.8,65.63,32.0,59.5,27.61
2002,jeff_brehaut,280.2,67.37,32.25,58.12,27.66
2002,jeff_gove,279.0,66.6,32.75,58.32,26.34
2002,jeff_maggert,274.9,64.28,32.416666666666664,60.24,27.08
2002,jeff_sluman,272.9,69.14,34.833333333333336,62.62,28.4
2002,jerry_kelly,274.0,67.14,36.166666666666664,65.11,29.33
2002,jerry_smith,275.2,61.11,36.833333333333336,56.49,26.33
2002,jesper_parnevik,279.2,64.65,42.75,58.35,28.59
2002,jess_daley,281.8,63.89,35.25,59.72,26.89
2002,jim_carter,275.3,63.53,33.25,63.53,28.24
2002,jim_furyk,271.8,71.69,30.666666666666668,64.78,27.03
2002,joe_durant,274.8,70.26,28.916666666666668,59.91,25.7
2002,joe_ogilvie,279.2,59.56,33.5,56.04,27.53
2002,joel_edwards,277.6,68.15,32.166666666666664,65.46,29.59
2002,joey_sindelar,285.8,69.06,32.583333333333336,54.58,29.44
2002,john_cook,264.0,67.92,35.5,59.52,29.82
2002,john_daly,306.8,60.36,39.166666666666664,54.39,35.0
2002,john_huston,281.6,68.92,29.583333333333332,62.38,31.06
2002,john_riegger,279.6,69.38,30.666666666666668,61.56,28.84
2002,john_rollins,279.3,68.01,34.083333333333336,61.79,31.02
2002,john_senden,289.9,69.69,37.583333333333336,59.64,29.26
2002,jonathan_byrd,290.5,64.34,34.583333333333336,59.77,34.2
2002,jonathan_kaye,286.1,65.26,38.083333333333336,62.75,28.65
2002,josé_coceres,263.2,59.86,37.583333333333336,61.3,26.72
2002,josé_maría_olazábal,270.6,60.93,35.833333333333336,63.07,30.74
2002,justin_leonard,278.7,67.59,34.166666666666664,62.29,32.14
2002,k.j._choi,283.1,65.52,32.083333333333336,59.81,32.23
2002,kaname_yokoo,280.5,59.8,36.75,56.62,29.92
2002,kenneth_staton,287.6,67.59,36.583333333333336,56.97,26.92
2002,kenny_perry,286.4,70.76,35.666666666666664,59.6,32.2
2002,kent_jones,277.8,64.78,35.25,58.65,30.11
2002,kevin_sutherland,275.0,67.99,33.583333333333336,59.17,25.65
2002,kirk_triplett,275.0,66.1,31.833333333333332,61.62,31.95
2002,lee_janzen,283.7,68.24,31.833333333333332,55.51,31.85
2002,lee_porter,265.0,62.63,37.5,60.3,27.42
2002,len_mattiace,276.9,65.74,36.666666666666664,64.71,29.02
2002,loren_roberts,268.0,68.23,33.75,64.24,28.64
2002,luke_donald,274.6,69.01,33.25,60.11,27.63
2002,mark_brooks,270.1,62.78,31.833333333333332,59.71,27.36
2002,mark_calcavecchia,285.5,66.07,35.916666666666664,55.9,32.77
2002,mark_o'meara,275.0,64.16,32.833333333333336,60.0,27.13
2002,mathew_goggin,296.1,65.54,40.25,59.19,30.33
2002,matt_gogel,275.9,63.3,32.333333333333336,60.56,28.64
2002,matt_kuchar,273.5,64.31,35.583333333333336,61.28,28.6
2002,matt_peterson,270.7,67.36,32.833333333333336,60.21,24.97
2002,michael_allen,285.0,60.81,35.583333333333336,57.66,27.1
2002,michael_clark_ii,284.0,65.67,34.75,59.11,28.07
2002,michael_long,281.9,66.98,34.75,55.92,27.49
2002,michael_muehr,268.0,61.97,32.666666666666664,56.58,27.05
2002,miguel_angel_jiménez,274.4,62.5,37.0,59.26,28.34
2002,mike_hulbert,272.4,60.69,34.5,56.53,26.17
2002,mike_sposa,274.7,64.53,33.666666666666664,64.22,26.74
2002,mike_weir,280.0,69.51,35.333333333333336,57.35,31.15
2002,neal_lancaster,281.9,64.32,34.25,62.28,28.04
2002,nick_price,272.7,64.43,32.25,65.49,30.68
2002,notah_begay_iii,280.8,66.59,33.75,57.53,30.06
2002,olin_browne,268.1,65.12,33.25,62.02,30.21
2002,pat_bates,271.5,67.64,34.583333333333336,60.57,29.99
2002,pat_perez,280.5,61.81,37.333333333333336,61.71,33.92
2002,paul_azinger,276.2,61.9,36.25,58.56,29.91
2002,paul_claxton,272.5,64.12,35.0,57.65,27.06
2002,paul_gow,281.7,65.22,35.666666666666664,56.41,26.76
2002,paul_goydos,271.3,63.8,31.583333333333332,58.14,28.8
2002,paul_stankowski,287.0,63.04,37.25,55.98,31.8
2002,per-ulrik_johansson,282.8,65.9,35.75,61.8,29.45
2002,pete_jordan,256.6,62.11,33.416666666666664,56.02,25.11
2002,peter_jacobsen,281.5,66.5,34.25,62.87,26.57
2002,peter_lonard,281.4,68.1,33.583333333333336,64.58,29.68
2002,phil_mickelson,288.8,67.65,34.583333333333336,61.64,35.84
2002,phil_tataurangi,288.6,66.34,33.0,58.35,31.31
2002,retief_goosen,279.8,68.89,33.75,61.07,32.74
2002,rich_beem,292.1,66.84,35.416666666666664,58.2,31.49
2002,richard_zokol,269.3,60.46,35.5,58.13,24.37
2002,robert_allenby,286.7,69.47,38.333333333333336,59.49,30.66
2002,robert_damron,278.0,62.4,35.5,58.02,30.47
2002,robert_gamez,282.6,66.67,32.5,58.7,32.61
2002,robin_freeman,282.0,65.7,35.0,52.7,28.51
2002,rocco_mediate,277.3,69.25,32.666666666666664,61.07,30.77
2002,rod_pampling,285.9,64.78,34.416666666666664,64.26,32.3
2002,rory_sabbatini,289.0,66.41,35.25,59.95,30.41
2002,russ_cochran,282.5,65.42,34.333333333333336,59.23,26.72
2002,scott_dunlap,272.5,65.28,33.5,50.0,24.38
2002,scott_hoch,270.0,65.07,33.666666666666664,62.65,30.18
2002,scott_mccarron,285.5,66.78,36.583333333333336,56.94,32.06
2002,scott_simpson,264.6,59.93,37.25,58.86,26.03
2002,scott_verplank,268.5,68.58,32.5,60.98,31.21
2002,sergio_garcia,290.5,64.54,35.25,57.94,31.78
2002,shaun_micheel,284.3,71.25,35.75,60.36,27.63
2002,shigeki_maruyama,280.0,63.92,33.916666666666664,59.93,30.57
2002,skip_kendall,271.5,63.42,34.0,63.46,30.35
2002,spike_mcroy,275.9,66.33,35.833333333333336,56.9,25.5
2002,stephen_ames,282.1,66.33,35.0,63.22,29.76
2002,stephen_gangluff,286.2,63.7,34.5,59.59,30.7
2002,steve_allan,289.7,66.24,34.25,55.7,31.91
2002,steve_elkington,280.5,62.67,38.0,61.31,27.76
2002,steve_flesch,285.7,66.93,34.916666666666664,58.72,31.27
2002,steve_jones,276.9,63.89,36.0,56.97,27.21
2002,steve_lowery,280.5,66.61,35.583333333333336,57.69,30.36
2002,steve_pate,281.1,69.17,44.666666666666664,55.26,27.98
2002,steve_stricker,285.1,62.05,38.916666666666664,59.8,33.84
2002,stewart_cink,279.6,66.8,31.833333333333332,60.16,30.62
2002,stuart_appleby,289.0,65.68,32.416666666666664,58.45,33.65
2002,tiger_woods,293.3,73.96,34.083333333333336,69.67,33.49
2002,tim_clark,275.7,66.43,31.0,60.61,31.52
2002,tim_herron,293.2,65.38,34.5,61.75,30.33
2002,tim_petrovic,280.6,66.99,32.333333333333336,62.28,28.49
2002,tom_byrum,270.5,66.09,30.583333333333332,65.96,26.62
2002,tom_lehman,283.0,70.34,31.75,56.2,24.42
2002,tom_pernice_jr.,279.9,64.7,35.583333333333336,59.3,29.34
2002,tom_scherrer,279.3,64.85,32.166666666666664,58.4,27.08
2002,tommy_armour_iii,282.0,64.47,31.583333333333332,55.21,27.26
2002,tommy_tolles,289.3,63.19,34.666666666666664,55.66,31.08
2002,tripp_isenhour,287.4,65.52,34.166666666666664,58.29,31.38
2002,vijay_singh,285.6,70.63,32.416666666666664,62.98,31.68
2002,woody_austin,279.9,62.29,34.75,58.78,28.36
2003,aaron_baddeley,287.9,60.53,36.416666666666664,59.87,34.8
2003,aaron_barber,281.3,65.95,33.416666666666664,56.67,28.77
2003,adam_scott,299.2,62.08,32.833333333333336,56.37,28.79
2003,akio_sadakata,283.3,66.25,35.25,55.14,28.23
2003,alex_cejka,284.4,66.73,34.75,57.43,29.72
2003,andrew_magee,299.3,67.99,34.5,60.55,28.72
2003,andy_miller,293.3,61.7,37.083333333333336,55.13,31.37
2003,anthony_painter,287.5,60.58,37.666666666666664,56.38,28.65
2003,arron_oberholser,285.1,65.82,34.083333333333336,67.28,28.74
2003,ben_crane,289.2,64.13,35.833333333333336,59.76,31.86
2003,ben_curtis,283.2,64.46,36.25,56.09,26.62
2003,bernhard_langer,272.3,62.33,33.583333333333336,57.37,26.5
2003,billy_andrade,284.4,64.09,35.583333333333336,60.31,31.64
2003,billy_mayfair,284.0,66.46,37.833333333333336,59.46,28.51
2003,bob_burns,278.1,63.56,33.583333333333336,56.81,26.99
2003,bob_estes,279.3,67.09,32.583333333333336,59.0,30.45
2003,bob_tway,288.8,69.74,35.0,58.75,29.3
2003,brad_elder,287.5,63.38,38.5,56.35,25.04
2003,brad_faxon,276.6,62.65,36.5,60.76,30.15
2003,brandt_jobe,292.7,67.75,33.833333333333336,63.31,28.57
2003,brenden_pappas,300.3,67.21,34.666666666666664,55.32,32.98
2003,brent_geiberger,293.8,64.71,35.333333333333336,60.49,31.81
2003,brent_schwarzrock,295.2,66.28,37.75,56.94,30.88
2003,brett_quigley,289.6,65.84,36.166666666666664,61.87,30.29
2003,brian_bateman,297.2,67.42,33.333333333333336,55.81,29.09
2003,brian_gay,278.1,62.49,32.416666666666664,60.0,29.91
2003,brian_henninger,285.3,62.6,33.75,57.82,29.16
2003,briny_baird,292.2,72.17,32.666666666666664,59.52,29.39
2003,cameron_beckman,289.4,67.34,33.083333333333336,58.61,31.31
2003,cameron_yancey,288.5,58.59,37.333333333333336,51.46,30.4
2003,carl_paulson,293.4,66.34,35.916666666666664,58.01,30.28
2003,carl_pettersson,281.8,63.92,33.666666666666664,56.53,32.01
2003,carlos_franco,298.0,68.5,37.0,58.0,28.62
2003,chad_campbell,294.6,71.79,31.416666666666668,54.83,30.6
2003,charles_howell_iii,294.6,67.87,35.75,59.7,29.74
2003,chris_anderson,279.7,63.8,35.5,59.61,28.07
2003,chris_dimarco,281.0,67.08,35.166666666666664,58.08,33.75
2003,chris_riley,279.3,61.54,33.5,65.65,31.86
2003,chris_smith,293.2,68.96,34.916666666666664,47.86,28.27
2003,cliff_kresge,286.5,65.72,34.416666666666664,59.0,29.36
2003,corey_pavin,268.9,61.44,35.25,63.9,26.65
2003,craig_barlow,293.9,66.85,33.666666666666664,56.76,32.5
2003,craig_perks,290.7,63.15,35.166666666666664,56.87,29.8
2003,dan_forsman,282.9,71.88,34.833333333333336,63.1,27.33
2003,darren_clarke,304.9,63.68,34.166666666666664,54.39,32.9
2003,darron_stiles,291.6,65.72,35.333333333333336,57.46,30.09
2003,"dave_stockton,_jr.",283.1,62.5,38.5,52.24,29.78
2003,david_frost,277.2,63.29,35.166666666666664,62.45,31.14
2003,david_gossett,287.9,68.38,33.666666666666664,57.72,29.6
2003,david_peoples,283.8,69.36,34.25,63.74,27.66
2003,david_sutherland,290.4,69.75,36.416666666666664,54.85,29.27
2003,david_toms,288.8,67.97,34.416666666666664,60.39,30.16
2003,davis_love_iii,299.2,68.45,33.583333333333336,59.59,32.64
2003,dean_wilson,278.4,63.65,35.666666666666664,58.49,29.91
2003,deane_pappas,299.5,61.72,36.666666666666664,59.24,33.79
2003,dicky_pride,283.1,65.2,35.25,60.53,29.86
2003,donnie_hammond,278.2,65.26,36.5,59.58,27.62
2003,doug_barron,278.1,63.01,36.833333333333336,59.73,28.82
2003,dudley_hart,277.9,64.19,35.0,59.9,28.13
2003,duffy_waldorf,288.4,68.15,34.0,56.8,30.39
2003,ernie_els,303.3,68.52,35.0,60.29,30.53
2003,esteban_toledo,276.7,65.88,36.166666666666664,59.29,28.45
2003,frank_lickliter_ii,281.6,65.0,34.5,55.91,30.25
2003,fred_couples,293.4,64.01,34.083333333333336,56.45,33.55
2003,fred_funk,274.1,67.23,32.333333333333336,60.65,28.04
2003,garrett_willis,287.7,63.92,35.75,60.62,31.46
2003,gavin_coles,271.0,59.85,34.5,59.33,21.83
2003,gene_sauers,277.0,63.73,34.666666666666664,54.05,26.28
2003,geoff_ogilvy,291.8,64.84,35.666666666666664,60.89,33.79
2003,glen_day,278.3,67.83,33.583333333333336,60.28,30.95
2003,glen_hnatiuk,271.1,66.29,34.083333333333336,58.52,26.01
2003,greg_chalmers,288.2,61.58,36.25,55.4,32.79
2003,hal_sutton,285.5,68.75,32.416666666666664,57.78,28.01
2003,hank_kuehne,321.4,65.0,35.916666666666664,54.2,34.23
2003,harrison_frazar,298.7,67.52,33.5,57.75,30.49
2003,heath_slocum,279.1,67.18,33.916666666666664,55.96,28.8
2003,hidemichi_tanaka,281.1,68.25,34.416666666666664,60.78,28.8
2003,ian_leggatt,294.8,67.89,34.166666666666664,54.45,27.42
2003,j.j._henry,293.2,68.81,35.0,58.26,26.67
2003,j.l._lewis,289.7,65.92,34.833333333333336,54.79,29.53
2003,j.p._hayes,276.5,65.89,33.583333333333336,56.91,30.7
2003,jason_buha,290.8,64.08,38.083333333333336,52.8,27.35
2003,jason_caron,295.2,61.66,37.25,54.29,27.66
2003,jason_gore,296.7,60.64,36.916666666666664,54.93,32.74
2003,jay_don_blake,278.4,64.19,35.083333333333336,56.6,28.22
2003,jay_haas,279.2,64.39,35.166666666666664,61.84,30.66
2003,jay_williamson,285.3,64.41,32.0,62.09,25.83
2003,jeff_brehaut,288.3,69.29,35.583333333333336,59.9,29.26
2003,jeff_klein,270.1,59.16,36.416666666666664,50.36,23.8
