,full_name,season,masters_played,min,mean,prior_score,SG_per_round,driving_distance,driving_accuracy,greens_in_regulation,par_or_better_distance,scrambling,putting_rating,made_cut,top_10,total_score
38,ben_crane,2006,6,287.0,305.8333333333333,315.0,-2.0,285.8,0.6351,0.6201,21.40050155175496,0.5649000000000001,22.9,0,0,315.0
39,ben_crane,2009,6,287.0,305.8333333333333,315.0,-2.0,285.0,0.6775,0.6487,18.916647375173717,0.6207,127.5,1,0,288.0
40,ben_crane,2010,6,287.0,305.8333333333333,288.0,-2.0,282.3,0.7112999999999999,0.6822,18.19355414700492,0.5906,175.8,0,0,315.0
41,ben_crane,2011,6,287.0,305.8333333333333,315.0,-2.0,284.9,0.6706,0.6636,18.82088452874743,0.6131,133.3,1,0,287.0
42,ben_crane,2014,6,287.0,305.8333333333333,287.0,-2.0,279.0,0.664,0.6344,18.71055792267504,0.591,125.0,0,0,315.0
43,ben_curtis,2003,8,288.0,309.125,315.0,-2.9,283.2,0.6733,0.6446,18.703032842295926,0.5609000000000001,243.5,0,0,315.0
44,ben_curtis,2004,8,288.0,309.125,315.0,-2.9,282.1,0.6434000000000001,0.6335000000000001,18.71513707017813,0.5802,313.4,0,0,315.0
45,ben_curtis,2005,8,288.0,309.125,315.0,-2.9,280.0,0.6341,0.6188,17.751330779534374,0.5359,247.7,1,0,295.0
46,ben_curtis,2006,8,288.0,309.125,295.0,-2.9,278.8,0.6661,0.6525,17.841341737660876,0.5688,169.1,0,0,315.0
47,ben_curtis,2007,8,288.0,309.125,315.0,-2.9,277.1,0.6737000000000001,0.6056,19.22736947181168,0.5246,225.8,0,0,315.0
48,ben_curtis,2008,8,288.0,309.125,315.0,-2.9,284.7,0.672,0.6345000000000001,17.619854430127646,0.5920000000000001,102.9,1,0,288.0
49,ben_curtis,2009,8,288.0,309.125,288.0,-2.9,279.5,0.6475,0.6425,19.696023287286533,0.5865,127.1,0,0,315.0
50,ben_curtis,2012,8,288.0,309.125,315.0,-2.9,274.8,0.6970000000000001,0.6887000000000001,17.97825353030711,0.5846,81.2,0,0,315.0
51,ben_martin,2014,1,315.0,315.0,315.0,-4.3,291.7,0.6434000000000001,0.6604000000000001,18.776448013402323,0.591,131.8,0,0,315.0
52,bernhard_langer,2002,5,285.0,303.8,315.0,-1.5,271.3,0.6743000000000001,0.64,18.287135410658983,0.6204,46.2,0,0,315.0
53,bernhard_langer,2003,5,285.0,303.8,315.0,-1.5,272.3,0.6557999999999999,0.6233,17.288078945074005,0.5737,145.3,1,1,285.0
54,bernhard_langer,2004,5,285.0,303.8,285.0,-1.5,282.2,0.6257,0.6525,18.107222929599732,0.6192,316.4,1,0,289.0
55,bernhard_langer,2005,5,285.0,303.8,289.0,-1.5,289.1,0.5755,0.6501,19.312050713939676,0.6019,200.8,0,0,315.0
56,bernhard_langer,2006,5,285.0,303.8,315.0,-1.5,285.8,0.6241,0.6566,19.859657005821845,0.591,177.9,0,0,315.0
57,bill_haas,2009,8,282.0,290.0,315.0,1.9,298.3,0.6281,0.6737000000000001,19.888006750300544,0.5949,226.5,1,0,289.0
58,bill_haas,2010,8,282.0,290.0,289.0,1.9,293.3,0.6417,0.6992,18.600926817559984,0.5796,222.6,1,0,290.0
59,bill_haas,2011,8,282.0,290.0,290.0,1.9,296.6,0.6359,0.6944,19.990634091716274,0.583,145.8,1,0,292.0
60,bill_haas,2012,8,282.0,290.0,292.0,1.9,292.2,0.6362,0.6517000000000001,20.390844503927077,0.6074,206.8,1,0,289.0
61,bill_haas,2013,8,282.0,290.0,289.0,1.9,288.2,0.6231,0.6779000000000001,18.62324050227445,0.6201,188.6,1,0,290.0
62,bill_haas,2014,8,282.0,290.0,290.0,1.9,291.9,0.6294,0.6862,19.19106517728729,0.6037,185.6,1,0,282.0
63,bill_haas,2015,8,282.0,290.0,282.0,1.9,290.7,0.6335000000000001,0.688,18.503862941288773,0.619,245.7,1,0,294.0
64,bill_haas,2016,8,282.0,290.0,294.0,1.9,289.6,0.6234000000000001,0.6714,18.07771398865342,0.633,241.6,1,0,294.0
65,billy_horschel,2013,5,292.0,301.8,315.0,-1.0,293.8,0.6417,0.6748000000000001,19.893620993926675,0.5569,67.8,1,0,295.0
66,billy_horschel,2014,5,292.0,301.8,295.0,-1.0,291.6,0.6704000000000001,0.7043,19.366041584863613,0.5532,147.3,0,0,315.0
67,billy_horschel,2015,5,292.0,301.8,315.0,-1.0,295.0,0.6377,0.6933,20.35896930716288,0.5761,172.3,1,0,292.0
68,billy_horschel,2017,5,292.0,301.8,292.0,-1.0,300.1,0.6007,0.6789000000000001,18.73898491262415,0.5433,168.8,0,0,315.0
69,billy_horschel,2018,5,292.0,301.8,315.0,-1.0,295.4,0.6779999999999999,0.7175,20.013038527697667,0.5803,108.1,1,0,292.0
